image,condition,ty,tx,fg_fraction,skel_len_per_mm2,branch_per_mm2,endpoint_per_mm2,endpoint_branch_ratio,mean_thickness_um,ramification,cluster
F_WT_2,WT,600,1200,0.15,619967.8,81682.2,120578.5,1.409,1.561,13.18,2
F_WT_2,WT,600,1400,0.1781,568343.3,58975.1,104844.7,1.684,1.582,10.38,3
F_WT_2,WT,600,1600,0.1505,554696.6,46535.9,89193.9,1.769,1.723,8.39,3
F_WT_2,WT,600,1800,0.2696,558671.5,58436.4,95229.7,1.571,1.73,10.46,1
F_WT_2,WT,600,2000,0.1214,525381.0,57683.5,81718.2,1.308,1.837,10.98,1
F_WT_2,WT,800,0,0.1651,555219.1,60076.0,74211.6,1.167,1.608,10.82,1
F_WT_2,WT,800,200,0.2901,546574.3,62341.3,70385.3,1.094,1.881,11.41,1
F_WT_2,WT,800,400,0.1989,559094.7,70382.8,90911.1,1.24,1.788,12.59,1
F_WT_2,WT,800,600,0.2151,548559.6,62385.9,81373.0,1.25,1.778,11.37,1
F_WT_2,WT,800,800,0.1871,620242.1,81066.4,99774.0,1.185,1.606,13.07,2
F_WT_2,WT,800,1000,0.1673,592130.4,73257.6,111630.6,1.455,1.637,12.37,2
F_WT_2,WT,800,1200,0.1673,626510.8,76711.6,118554.3,1.478,1.504,12.24,2
F_WT_2,WT,800,1400,0.164,605981.6,81812.0,128053.6,1.5,1.56,13.5,2
F_WT_2,WT,800,1600,0.1464,607781.9,59758.7,59758.7,0.938,1.479,9.83,1
F_WT_2,WT,800,1800,0.2288,562102.9,71392.7,89240.9,1.207,1.752,12.7,1
F_WT_2,WT,800,2000,0.2865,580890.5,75348.8,75348.8,0.974,1.803,12.97,1
F_WT_2,WT,1000,0,0.2779,614836.2,86063.0,83963.9,0.952,1.634,14.0,1
F_WT_2,WT,1000,200,0.2399,581019.2,68104.0,80265.4,1.138,1.682,11.72,1
F_WT_2,WT,1000,400,0.1609,669439.0,76136.9,101515.8,1.273,1.45,11.37,2
F_WT_2,WT,1000,600,0.2293,586092.4,63597.6,96668.3,1.462,1.736,10.85,1
F_WT_2,WT,1000,800,0.1374,629126.4,76405.9,131588.0,1.632,1.368,12.14,2
F_WT_2,WT,1000,1000,0.1683,609427.8,83225.3,114434.8,1.32,1.511,13.66,2
F_WT_2,WT,1000,1200,0.1508,636700.9,77379.9,88986.8,1.095,1.512,12.15,2
F_WT_2,WT,1000,1400,0.1305,657752.3,89382.5,111728.1,1.19,1.487,13.59,2
F_WT_2,WT,1000,1600,0.1858,633030.3,59655.3,106751.5,1.7,1.47,9.42,3
F_WT_2,WT,1000,1800,0.3005,543021.1,56310.4,67960.9,1.167,1.893,10.37,1
F_WT_2,WT,1000,2000,0.2154,558383.9,67708.5,70416.8,1.0,1.833,12.13,1
F_WT_2,WT,1000,2200,0.0972,498122.4,54008.7,66010.7,1.1,2.008,10.84,1
F_WT_2,WT,1000,2400,0.2004,593164.9,75715.2,69891.0,0.889,1.873,12.76,1
F_WT_2,WT,1200,0,0.1964,557058.9,77228.2,112872.0,1.407,1.66,13.86,2
F_WT_2,WT,1200,200,0.1349,615951.0,86500.3,82175.2,0.905,1.475,14.04,2
F_WT_2,WT,1200,400,0.1278,608470.8,68466.0,109545.6,1.5,1.503,11.25,2
F_WT_2,WT,1200,600,0.1153,590643.3,80946.1,106241.7,1.235,1.473,13.7,2
F_WT_2,WT,1200,800,0.1798,569686.9,84380.7,103853.2,1.185,1.593,14.81,2
F_WT_2,WT,1200,1000,0.132,591279.5,48638.8,88434.1,1.667,1.452,8.23,3
F_WT_2,WT,1200,1200,0.2251,619087.1,72566.1,67382.8,0.897,1.61,11.72,1
F_WT_2,WT,1200,1400,0.1234,510115.2,42569.9,113519.7,2.4,1.523,8.35,3
F_WT_2,WT,1200,1600,0.1938,561488.3,54189.9,66232.1,1.158,1.597,9.65,1
F_WT_2,WT,1200,1800,0.2533,589380.6,69108.0,87536.8,1.226,1.766,11.73,1
F_WT_2,WT,1200,2000,0.1792,550025.0,58613.1,81407.0,1.316,1.719,10.66,1
F_WT_2,WT,1200,2200,0.2835,551301.5,63803.8,63803.8,0.969,1.763,11.57,1
F_WT_2,WT,1200,2400,0.2371,550067.6,76275.3,88577.7,1.125,1.702,13.87,1
F_WT_2,WT,1200,2600,0.3356,534409.5,71278.9,67801.9,0.929,2.11,13.34,0
F_WT_2,WT,1200,2800,0.2977,500575.4,60749.9,72508.0,1.156,2.24,12.14,0
F_WT_2,WT,1200,3000,0.0928,320752.0,39528.7,23717.2,0.5,4.068,12.32,0
F_WT_2,WT,1400,0,0.2053,681305.9,82425.4,88109.9,1.033,1.42,12.1,2
F_WT_2,WT,1400,200,0.2027,650717.0,69089.2,80604.1,1.12,1.481,10.62,2
F_WT_2,WT,1400,400,0.1789,586732.0,61973.1,84805.3,1.3,1.535,10.56,1
F_WT_2,WT,1400,600,0.1159,623915.4,55350.5,120764.6,2.0,1.526,8.87,3
F_WT_2,WT,1400,800,0.2578,584600.6,72414.3,92780.8,1.242,1.819,12.39,1
F_WT_2,WT,1400,1000,0.255,527508.6,68627.0,57189.2,0.806,1.812,13.01,1
F_WT_2,WT,1400,1200,0.2559,547884.7,70672.1,84350.6,1.156,1.771,12.9,1
F_WT_2,WT,1400,1400,0.1623,570662.9,61103.0,111423.2,1.722,1.549,10.71,3
F_WT_2,WT,1400,1600,0.1545,639225.3,75502.3,109478.4,1.381,1.459,11.81,2
F_WT_2,WT,1400,1800,0.1136,720969.0,82193.3,107878.7,1.235,1.304,11.4,2
